Reference, Quantity, Value, Footprint, Datasheet, mouser, Power
C1 ,1,100n,projectLib:SMD-0805,,C0805C104K5RACTU,
C2 ,1,4n7,projectLib:SMD-0805,,C0805C472K5RACTU,
D1 ,1,3V6,projectLib:SOT-23,,AZ23C3V6-E3-08,
D2 ,1,LED GREEN,LEDs:LED_0603,,L29K-F2J1-24-Z,
D3 ,1,LED RED,LEDs:LED_0603,,Q976-NR-1,
IC1 ,1,ATTINY85-S,projectLib:SO8_200mil_wide,,556-ATTINY85-20SU,
P1 ,1,USB_A,projectLib:USB_A_MALE,http://www.mouser.com/ds/2/215/32-744715.pdf,534-932,
P2 ,1,CONN_6,projectLib:SKRHAAE010,http://www.alps.com/products/WebObjects/catalog.woa/E/HTML/MultiControl/Switch/SKRH/SKRHAAE010.html,SKRHAAE010,
R1 ,1,1k5,projectLib:SMD-0805,,ERJ-6GEYJ152V,1/8W
R10 R11 ,2,220R,projectLib:SMD-0805,,ERJ-6GEYJ221V,1/8W
R2 R3 ,2,68R,projectLib:SMD-0805,,ERJ-6GEYJ680V,1/8W
R4 R6 R7 R8 ,4,1k,projectLib:SMD-0805,,ERJ-6GEYJ102V,1/4W
R5 R9 ,2,560k,projectLib:SMD-0805,,ERJ-6GEYJ564V,1/4W
